ID,Date,Date,Category,Category ID,Exercise Name,Exercise ID,Weight (lbs),Sets,Reps,Volume (lbs),Workout ID,Workout Type,Workout Type ID,E1RM
1,5/1/2022,2022-05-01,Push,1,Incline Bench Press,2,45,1,8,360,1,Strength,1,57
2,5/1/2022,2022-05-01,Push,1,Incline Bench Press,2,95,1,5,475,1,Strength,1,110.8333333
3,5/1/2022,2022-05-01,Push,1,Incline Bench Press,2,135,3,5,2025,1,Strength,1,157.5
4,5/2/2022,2022-05-02,Pull,2,Deadlift,4,135,1,5,675,2,Strength,1,157.5
5,5/2/2022,2022-05-02,Pull,2,Deadlift,4,225,1,5,1125,2,Strength,1,262.5
6,5/2/2022,2022-05-02,Pull,2,Deadlift,4,315,3,5,4725,2,Strength,1,367.5
7,5/3/2022,2022-05-03,Legs,3,Barbell Squat,7,135,1,5,675,3,Strength,1,157.5
8,5/3/2022,2022-05-03,Legs,3,Barbell Squat,7,225,3,3,2025,3,Strength,1,247.5
9,5/3/2022,2022-05-03,Legs,3,Barbell Squat,7,275,1,2,450,3,Strength,1,293.3333333
10,5/4/2022,2022-05-04,Push,1,Overhead Press,3,45,1,8,360,4,Strength,1,57
11,5/4/2022,2022-05-04,Push,1,Overhead Press,3,75,1,6,450,4,Strength,1,90
12,5/4/2022,2022-05-04,Push,1,Overhead Press,3,95,3,6,1710,4,Strength,1,114
13,5/5/2022,2022-05-05,Pull,2,Barbell Row,6,135,4,6,3240,5,Strength,1,162
14,5/6/2022,2022-05-06,Rest,0,Rest,0,0,0,0,0,6,Rest,0,0
15,5/7/2022,2022-05-07,Rest,0,Rest,0,0,0,0,0,7,Rest,0,0
16,5/8/2022,2022-05-08,Push,1,Flat Bench Press,1,45,1,8,360,8,Strength,1,57
17,5/8/2022,2022-05-08,Push,1,Flat Bench Press,1,135,1,5,675,8,Strength,1,157.5
18,5/8/2022,2022-05-08,Push,1,Flat Bench Press,1,185,3,5,2775,8,Strength,1,215.8333333
19,5/9/2022,2022-05-09,Pull,2,Deadlift,4,135,1,5,675,9,Strength,1,157.5
20,5/9/2022,2022-05-09,Pull,2,Deadlift,4,225,1,5,1125,9,Strength,1,262.5
21,5/9/2022,2022-05-09,Pull,2,Deadlift,4,315,3,5,4725,9,Strength,1,367.5
22,5/10/2022,2022-05-10,Legs,3,Barbell Squat,7,135,1,5,675,10,Strength,1,157.5
23,5/10/2022,2022-05-10,Legs,3,Barbell Squat,7,225,3,3,2025,10,Strength,1,247.5
24,5/10/2022,2022-05-10,Legs,3,Barbell Squat,7,275,1,2,450,10,Strength,1,293.3333333
25,5/11/2022,2022-05-11,Push,1,Overhead Press,3,45,1,8,360,11,Strength,1,57
26,5/11/2022,2022-05-11,Push,1,Overhead Press,3,75,1,6,450,11,Strength,1,90
27,5/11/2022,2022-05-11,Push,1,Overhead Press,3,95,3,6,1710,11,Strength,1,114
28,5/12/2022,2022-05-12,Pull,2,Barbell Row,6,135,4,6,3240,12,Strength,1,162
29,5/13/2022,2022-05-13,Rest,0,Rest,0,0,0,0,0,13,Rest,0,0
30,5/14/2022,2022-05-14,Rest,0,Rest,0,0,0,0,0,14,Rest,0,0
31,5/15/2022,2022-05-15,Push,1,Incline Bench Press,2,45,1,8,360,15,Strength,1,57
32,5/15/2022,2022-05-15,Push,1,Incline Bench Press,2,95,1,5,475,15,Strength,1,110.8333333
33,5/15/2022,2022-05-15,Push,1,Incline Bench Press,2,135,3,5,2025,15,Strength,1,157.5
34,5/16/2022,2022-05-16,Pull,2,Deadlift,4,135,1,5,675,16,Strength,1,157.5
35,5/16/2022,2022-05-16,Pull,2,Deadlift,4,225,1,3,675,16,Strength,1,247.5
36,5/16/2022,2022-05-16,Pull,2,Deadlift,4,315,1,1,315,16,Strength,1,325.5
37,5/16/2022,2022-05-16,Pull,2,Deadlift,4,315,1,1,315,16,Strength,1,325.5
38,5/16/2022,2022-05-16,Pull,2,Deadlift,4,405,1,1,405,16,Strength,1,418.5
39,5/17/2022,2022-05-17,Legs,3,Barbell Squat,7,135,1,5,675,17,Strength,1,157.5
40,5/17/2022,2022-05-17,Legs,3,Barbell Squat,7,225,3,3,2025,17,Strength,1,247.5
41,5/17/2022,2022-05-17,Legs,3,Barbell Squat,7,275,1,3,675,17,Strength,1,302.5
42,5/18/2022,2022-05-18,Push,1,Overhead Press,3,45,1,8,360,18,Strength,1,57
43,5/18/2022,2022-05-18,Push,1,Overhead Press,3,75,1,6,450,18,Strength,1,90
44,5/18/2022,2022-05-18,Push,1,Overhead Press,3,95,3,6,1710,18,Strength,1,114
45,5/19/2022,2022-05-19,Pull,2,Barbell Row,6,135,4,6,3240,19,Strength,1,162
46,5/20/2022,2022-05-20,Rest,0,Rest,0,0,0,0,0,20,Rest,0,0
47,5/21/2022,2022-05-21,Rest,0,Rest,0,0,0,0,0,21,Rest,0,0
48,5/22/2022,2022-05-22,Push,1,Flat Bench Press,1,45,1,8,360,22,Strength,1,57
49,5/22/2022,2022-05-22,Push,1,Flat Bench Press,1,135,1,5,675,22,Strength,1,157.5
50,5/22/2022,2022-05-22,Push,1,Flat Bench Press,1,185,3,5,2775,22,Strength,1,215.8333333
51,5/23/2022,2022-05-23,Pull,2,Deadlift,4,135,1,5,675,23,Strength,1,157.5
52,5/23/2022,2022-05-23,Pull,2,Deadlift,4,225,1,5,1125,23,Strength,1,262.5
53,5/23/2022,2022-05-23,Pull,2,Deadlift,4,315,3,5,4725,23,Strength,1,367.5
54,5/24/2022,2022-05-24,Legs,3,Barbell Squat,7,135,1,5,675,24,Strength,1,157.5
55,5/24/2022,2022-05-24,Legs,3,Barbell Squat,7,225,3,3,2025,24,Strength,1,247.5
56,5/24/2022,2022-05-24,Legs,3,Barbell Squat,7,275,1,3,675,24,Strength,1,302.5
57,5/25/2022,2022-05-25,Push,1,Overhead Press,3,45,1,8,360,25,Strength,1,57
58,5/25/2022,2022-05-25,Push,1,Overhead Press,3,75,1,6,450,25,Strength,1,90
59,5/25/2022,2022-05-25,Push,1,Overhead Press,3,95,4,6,2280,25,Strength,1,114
60,5/26/2022,2022-05-26,Pull,2,Barbell Row,6,135,4,6,3240,26,Strength,1,162
61,5/27/2022,2022-05-27,Rest,0,Rest,0,0,0,0,0,27,Rest,0,0
62,5/28/2022,2022-05-28,Rest,0,Rest,0,0,0,0,0,28,Rest,0,0
63,5/29/2022,2022-05-29,Push,1,Incline Bench Press,2,45,1,8,360,29,Strength,1,57
64,5/29/2022,2022-05-29,Push,1,Incline Bench Press,2,95,1,5,475,29,Strength,1,110.8333333
65,5/29/2022,2022-05-29,Push,1,Incline Bench Press,2,135,3,5,2025,29,Strength,1,157.5
66,5/30/2022,2022-05-30,Pull,2,Deadlift,4,135,1,5,675,30,Strength,1,157.5
67,5/30/2022,2022-05-30,Pull,2,Deadlift,4,225,1,5,1125,30,Strength,1,262.5
68,5/30/2022,2022-05-30,Pull,2,Deadlift,4,315,3,5,4725,30,Strength,1,367.5
69,5/31/2022,2022-05-31,Legs,3,Barbell Squat,7,135,1,5,675,31,Strength,1,157.5
70,5/31/2022,2022-05-31,Legs,3,Barbell Squat,7,225,3,3,2025,31,Strength,1,247.5
71,5/31/2022,2022-05-31,Legs,3,Barbell Squat,7,275,1,4,900,31,Strength,1,311.6666667
72,6/1/2022,2022-06-01,Push,1,Overhead Press,3,45,1,8,360,32,Strength,1,57
73,6/1/2022,2022-06-01,Push,1,Overhead Press,3,75,1,6,450,32,Strength,1,90
74,6/1/2022,2022-06-01,Push,1,Overhead Press,3,95,3,6,1710,32,Strength,1,114
75,6/2/2022,2022-06-02,Pull,2,Barbell Row,6,135,4,6,3240,33,Strength,1,162
76,6/3/2022,2022-06-03,Rest,0,Rest,0,0,0,0,0,34,Rest,0,0
77,6/4/2022,2022-06-04,Rest,0,Rest,0,0,0,0,0,35,Rest,0,0
78,6/5/2022,2022-06-05,Push,1,Flat Bench Press,1,45,1,8,360,36,Strength,1,57
79,6/5/2022,2022-06-05,Push,1,Flat Bench Press,1,135,1,5,675,36,Strength,1,157.5
80,6/5/2022,2022-06-05,Push,1,Flat Bench Press,1,185,3,5,2775,36,Strength,1,215.8333333
81,6/6/2022,2022-06-06,Pull,2,Deadlift,4,135,1,5,675,37,Strength,1,157.5
82,6/6/2022,2022-06-06,Pull,2,Deadlift,4,225,1,5,1125,37,Strength,1,262.5
83,6/6/2022,2022-06-06,Pull,2,Deadlift,4,315,3,5,4725,37,Strength,1,367.5
84,6/7/2022,2022-06-07,Legs,3,Barbell Squat,7,135,1,5,675,38,Strength,1,157.5
85,6/7/2022,2022-06-07,Legs,3,Barbell Squat,7,225,2,5,2250,38,Strength,1,262.5
86,6/7/2022,2022-06-07,Legs,3,Barbell Squat,7,275,1,3,675,38,Strength,1,302.5
87,6/7/2022,2022-06-07,Legs,3,Barbell Squat,7,295,1,1,275,38,Strength,1,304.8333333
88,6/8/2022,2022-06-08,Push,1,Overhead Press,3,45,1,8,360,39,Strength,1,57
89,6/8/2022,2022-06-08,Push,1,Overhead Press,3,75,1,6,450,39,Strength,1,90
90,6/8/2022,2022-06-08,Push,1,Overhead Press,3,95,3,6,1710,39,Strength,1,114
91,6/9/2022,2022-06-09,Pull,2,Barbell Row,6,135,4,6,3240,40,Strength,1,162
92,6/10/2022,2022-06-10,Rest,0,Rest,0,0,0,0,0,41,Rest,0,0
93,6/11/2022,2022-06-11,Rest,0,Rest,0,0,0,0,0,42,Rest,0,0
94,6/12/2022,2022-06-12,Push,1,Incline Bench Press,2,45,1,8,360,43,Strength,1,57
95,6/12/2022,2022-06-12,Push,1,Incline Bench Press,2,95,1,5,475,43,Strength,1,110.8333333
96,6/12/2022,2022-06-12,Push,1,Incline Bench Press,2,135,3,5,2025,43,Strength,1,157.5
97,6/13/2022,2022-06-13,Pull,2,Deadlift,4,135,1,5,675,44,Strength,1,157.5
98,6/13/2022,2022-06-13,Pull,2,Deadlift,4,225,1,5,1125,44,Strength,1,262.5
